Latitude,Longitude,Elevation
-27.636284,27.235908,1407.578369140625
-27.636284,27.235909,1407.576904296875
-27.636284,27.23590975,1407.575805664062
-27.636284,27.2359105,1407.57470703125
-27.636284,27.23591125,1407.573608398438
-27.636284,27.235912,1407.572509765625
-27.636284,27.235912,1407.572509765625
-27.636284,27.235912,1407.572509765625
-27.636284,27.235912,1407.572509765625
-27.636284,27.235912,1407.572509765625
-27.636283,27.2359135,1407.57177734375
-27.636282,27.235915,1407.571044921875
-27.636281,27.2359165,1407.5703125
-27.63628,27.235918,1407.569580078125
-27.63628,27.235918,1407.569580078125
-27.63628,27.235918,1407.569580078125
-27.63628,27.235918,1407.569580078125
-27.63628,27.235918,1407.569580078125
-27.63628,27.2359165,1407.57177734375
-27.63628,27.235915,1407.573974609375
-27.63628,27.2359135,1407.576171875
